tra_id,amount_eur
245137,54.53
107602,1.00
264701,58.00
119005,314.00
250509,73.82
132764,1471.60
264382,8.99
94938,35.42
225572,1.00
264346,14.35
33427,1.00
157827,53.41
222062,32.74
242485,165.38
211232,0.76
150457,20.80
12083,5.53
256531,9.99
132012,18.36
52197,64.83
258463,120.00
162299,8.30
158409,209.60
147457,2.49
75053,119.98
139630,5.49
10095,11.50
80096,5.98
59378,2.69
212630,29.99
193303,10.95
237643,100.00
191056,125.90
113574,0.00
17523,24.00
120478,197.00
88720,1.98
207113,15.00
67888,7.49
205739,0.00
72599,10.00
50246,210.87
88772,790.02
265672,749.00
260866,3.04
116379,1800.00
166412,99.99
227219,213.59
64472,15.19
142368,5.10
108391,0.45
246985,1.98
178035,0.89
93791,11.85
121815,1524.51
271500,62.29
859,70.00
190842,5.25
130402,100.00
120007,15.78
100566,49.00
165193,5.00
127471,2.00
266391,17.99
107920,0.30
209663,1.15
50327,30.47
96150,12.57
67344,380.74
208505,1.00
151115,7.57
256344,83.16
200155,30.34
179342,1.00
1087,175.35
176838,274.00
808,0.99
178200,20.00
200730,29.32
83668,39.07
38636,91.00
113875,67.30
272147,1.00
45426,5.17
109939,3.62
201499,9.46
106955,1.00
14034,9.19
251448,113.51
199504,15.95
160676,16.20
15910,195.00
270904,1.00
275457,1.00
46843,2.99
25019,4.53
157369,6.28
21693,4.99
282037,23.98
27098,129.00
69251,34.00
208105,0.12
217655,11.27
9546,2.67
12279,99.60
251014,1.53
31193,17.99
282582,1.00
284300,85.00
205583,0.89
26657,9.99
229764,15.00
162672,34.13
49422,18.49
147873,1.00
68211,1.98
198622,1.52
48897,22.69
122629,11.50
218868,1.00
148155,20.00
150617,37.59
277901,14.97
65788,68.35
23602,20.99
203674,3.86
8651,149.24
77765,1.50
236798,1360.24
276033,1.00
131825,91.00
103897,76.00
91980,11.99
275630,117.00
104621,49.90
199211,17.45
92133,1.92
80263,185.00
230796,168.00
43927,30.24
101216,59.85
112024,19.60
146943,1.00
57386,4.74
148784,126.75
221340,59.99
170955,49.50
99190,341.88
126253,74.85
52438,1.00
16996,2.69
202828,1.98
104343,27.50
267025,63.90
45415,165.00
81479,220.94
172160,1.00
62160,9.99
210174,1437.08
268767,189.12
140952,1.98
49824,1.98
233940,174.22
209113,99.00
183190,168.30
68887,12.14
277883,235.14
47012,0.00
106239,97.46
101230,82.90
86633,129.00
201838,0.76
163610,66.16
247453,131.41
208214,217.91
55548,47.76
69024,89.40
171001,9.99
124046,59.15
130257,35.00
45784,1.98
268458,4.92
125439,1.98
254965,40.63
282011,111.46
158678,235.75
173786,9.00
41854,23.71
71515,3.76
168469,7.58
203915,15.95
81602,185.00
34625,165.38
1570,69.50
102467,29.95
224072,1.29
157913,954.00
18257,2.49
64202,39.00
110990,131.56
128288,10.59
118432,0.89
160847,13.99
244158,3.20
56387,27.00
208723,305.65
6117,2.69
51150,153.31
88604,28.00
99217,714.00
21422,1.00
160648,11.43
228368,22.71
60677,39.99
266481,25.17
88141,14.40
97924,45.00
107254,27.31
52926,4.49
254267,1.00
71675,37.00
113958,1.98
241070,50.00
72638,11.50
241723,7.57
195345,49.00
182794,189.00
23131,4.49
40285,15.00
105981,202.55
94672,10.00
22788,1.00
105586,9.99
177541,39.13
98399,206.10
85215,183.96
94842,118.50
172213,2.69
174458,3.67
78440,15.00
238039,77.34
65129,40.00
261550,19.26
175427,29.40
169356,0.76
264145,129.00
137278,90.52
52815,689.60
56566,9.99
22212,628.50
152379,85.25
222047,350.45
184358,128.90
67428,8.99
10720,1.00
549,211.49
284355,140.73
196673,218.57
99341,0.76
241666,49.61
15284,1.00
31436,15.00
138956,65.58
175910,45.44
91004,6.02
282176,135.00
222856,158.00
131482,53.60
53511,7.79
100040,53.23
104907,2.68
198605,20.00
37456,9.00
171074,36.44
239244,7.00
231496,6.09
57661,24.00
245244,52.00
189849,1.00
163561,64.94
3326,50.96
16643,198.00
107152,259.80
228932,1.98
202135,10.62
55327,4.86
265760,25.00
265164,158.00
21990,24.21
29072,92.20
196711,9.87
4490,100.00
