id_user_anon,ab
3e3b1bc7-9c46-4798-b955-8ed3f6bdf841,treatment
99fef26b-5b8c-4d96-b6f4-552a951512d6,treatment
25886018-ed8c-4c40-9915-ead001e2c021,control
f7e16080-c7ae-4e46-8247-26f92d4495a6,treatment
9c2d741a-acfe-4728-ba3b-0571bfd82306,treatment
9448ade1-f070-47e5-964b-d8bee305f05b,treatment
a0a371e0-0f4d-4e81-9072-649e4c079dd6,treatment
367d4b5f-efa3-48e8-bb31-013c1cc5dde6,treatment
1e8c8f07-bc44-42e8-8e5e-7d185f551554,treatment
f015d808-e13f-4d67-8504-ac3d1858a7ce,treatment
789f6d67-16fa-4dd9-84e1-4339537900ea,control
20bb601d-c9a8-42ce-aa20-f6f2c1b22801,treatment
723f4ccc-d111-4a58-b161-fb13052c377e,control
ca070bdf-cbff-4f2d-908d-894c407c701d,control
71e2be65-7187-4dea-8ada-62afb9b0122c,control
4f0b9481-36fc-446b-9416-423c1cd80caf,control
893307d4-361a-4341-a76e-96aa656532bf,treatment
29fe4c7a-bc49-4ceb-aadd-1b3e7778896c,treatment
458387f5-8992-4f0b-9355-8c279362c8d8,treatment
1771132d-f043-4046-b797-844f37821410,treatment
a5f4b94f-96c6-4941-aaa6-cd29d4e66d8e,treatment
77fba9db-c805-486f-b5da-836e16dfcda9,control
cc42bbba-6a92-4147-9f0f-5ae65dca92ac,control
d4466919-ec14-4e23-bbf9-152430a510d2,treatment
ef682d46-358d-472a-8dc2-d72c23495659,treatment
8d697904-a53e-4ed1-93db-b928123dad4d,treatment
8cc81ce6-0572-4b1d-8568-1df9e055cc3b,control
7f354ecf-7d4e-4beb-9484-a69accc5104f,control
e6ac663a-8a4a-45fa-8ad5-8c638d0a76ca,control
905f8e45-a5e5-491b-b92e-56c9734029bc,treatment
bc472b43-633b-4ce6-a4c0-c74493335d6e,control
29878fe9-50d9-40f9-8e33-f413d7572eae,treatment
3e89d6bb-e617-4d0a-8b7a-ff0b804f17fc,control
f78076b3-65f7-4edd-8ac5-a15b51e03082,treatment
dc26080a-c0c4-4283-99ae-8d0b3ab2eaed,treatment
5f945952-dc1b-461d-9b26-5ee816c93762,treatment
a3f452bb-1dd6-4535-b0a4-1671bf405990,control
cba0674b-5e4e-492c-9caf-5b623b50c713,treatment
72707be4-23c3-43f4-8173-739dc4567ff2,control
b38594da-79e1-42ce-9eff-6e2d7d040339,control
db2bee12-9165-459d-8a8d-bd8237e6c1a1,treatment
0d72df7a-fe27-4e5f-b2d6-53b735162c91,control
d4ce7bac-a2b6-4c8e-8152-975c6e3c8b2f,treatment
545e82bd-2f64-48ea-9be7-82ce24576c42,treatment
5e1b9ffb-8d53-4f8b-af10-55291aa2b4f3,treatment
b9518db9-b9b0-4fa4-a697-0cd35f91eb36,treatment
5287d5cc-dc84-456f-a051-51b0334bf2e5,control
8ba6f952-02a7-4288-a4b2-29ad81a29054,control
c3240982-420c-4e10-8302-da2950760923,treatment
f7c026ef-ee37-4a31-ab66-0ef24ee4c67a,control
35a11306-da69-452f-acf5-693935213eb2,treatment
3d9b9c68-e89b-4c0c-88f1-7322aa824b3a,control
69740135-3ab8-4e86-9da3-2b99b44eb4de,control
49e4ab1e-7c0e-40cd-affb-e1421b84916a,treatment
46fc6935-7a18-4729-8f3b-347292a9f56e,control
11f557fa-24c5-47da-b139-c7e4984ebd02,control
90e2a92c-0e1b-4639-a8ff-8ecb05eb851d,control
525bb81c-98af-4b5f-8966-5433210acbea,treatment
51181091-c292-48cb-a763-420e302dabac,treatment
ed0843fa-0f86-4e8e-a4cc-7347304bb5f8,treatment
45d1d512-c73a-4315-bbf0-836f39799008,control
c89d38bb-794b-4aa4-8735-ffb968e443f8,control
329f1936-461d-4bfb-9b55-e4e8d119fc78,treatment
12970207-43e1-4b77-8e79-22ee40252a5f,treatment
8fd3c0fa-8708-4419-849f-af03320918a6,control
6874988c-d0f8-4b1e-bfc1-0cb7104df3af,treatment
806eb08a-cf6b-4528-bbc1-4acbfe1534d8,treatment
ac9ff4c0-e66d-452c-8195-bab358d4ea56,control
b8c1d879-e393-494f-80f5-019a5f15da7d,treatment
cf3788f1-5bdb-4795-af38-b6e827f9848b,control
30595ecf-3ee0-4fee-a28b-97215035e88c,control
666ee656-8722-4fec-a599-eb4bf1fa4824,control
5893b54b-4364-44b6-b5e6-1386bc80963e,treatment
60ea9742-7aed-4456-9342-44e3a4fa5b86,treatment
874316c9-2d96-4b21-8b6f-7491a8f39f53,treatment
d9877db9-075c-45ee-9519-96d80841c9f6,treatment
7b5091c8-aecb-47f5-a25a-114836a01384,control
11f8fa51-c9d8-4528-a079-7b640ef63aee,treatment
23a18522-0b89-4e76-8a9d-9725784bbb80,treatment
b77157c5-9a69-439e-ac6b-bc35190d53c8,treatment
4f63ff5b-9eec-423d-a225-87e5db916d8e,treatment
982662a7-af1e-4628-a24c-fc3bf5dbe47d,treatment
b80a08f6-3476-4f09-814d-acee1adf3799,treatment
1c1dcc5f-f607-47ad-b97c-699e09704d08,treatment
a0d4e810-580f-4afc-838f-6f2cf836f083,control
8da56f1e-722d-4ec3-acd5-608bf4737be6,treatment
d9cd713c-752f-4153-b0b9-e075e429b602,treatment
1c1b2709-69da-4ea9-83b5-3bcd14be09e3,treatment
9687506c-cb3b-472e-9004-7ada49925b74,treatment
8ed98880-c71a-48f7-bd84-0b7942b50b95,treatment
df5925f3-c5e4-4c5b-9b91-dfd4cb6ac395,control
e77f6f97-da8c-4606-9579-568548017b15,control
07f139c2-d7a5-40eb-b086-9b0eb4ae5e74,control
097c2d33-2dd7-4305-8378-e628df3c36c9,control
4e08dc8e-472e-4528-b6ab-507658326d19,treatment
6d6b326f-7f84-4eb2-a243-2e04e8b3cab0,treatment
2abe6fef-2c1f-4b4a-b42a-a473f0671014,control
ef393db8-592e-44ec-81ab-f13b7d39b7c7,treatment
c620c8a6-414c-4221-9e53-dbb48f2c06a1,treatment
49f397f0-1f4e-41ac-9d47-d2db724434db,treatment
99d87f8b-cd25-41da-8a3a-5e09ce736561,treatment
5f9744ff-a339-4a02-ac49-588452d16ba2,treatment
35162d1c-9ef4-4b7f-a387-2a52be5e05c2,control
db99a15e-72bc-4261-a09f-20de81be2cb2,treatment
f34995c6-62ee-4165-a59a-84b3dcefe874,treatment
ec18cd5f-abba-4752-9da4-843b8d9a8e4e,control
82661f99-83f9-4391-922a-a44cc861d71f,treatment
ab17d647-b192-4775-bd8d-8f5b75823ca9,treatment
75c91076-d27a-429b-b7fc-30423994129c,treatment
fe90cec4-0e69-4f1b-929f-ca5a9254f732,treatment
80e19b7f-bf98-48c2-b413-36d49df5556a,treatment
c5b5d865-1f35-4043-9f67-7f6bde8c0d97,treatment
a4676fea-e18c-4bf4-a671-c469645b6859,control
0062588c-1a24-479b-a61a-1cf94cd85fb6,treatment
ed407546-dba1-444e-aa31-e20d514b6f76,control
59e28759-3365-4ccd-9ce5-2627c5002ea2,control
9f08b894-278d-4f2f-9e1d-7413becb7406,control
a6e60650-3644-420a-bbdf-ac67c2c5c454,control
b368309a-03c0-4767-9bb3-ebde64877f4c,treatment
8bf39e96-9feb-49d3-923c-08295dfa1371,control
d0e6fdf8-a45d-42d8-a65c-5aa5a0357ff6,control
1425da8c-eda6-467e-84ae-b6476d9242a5,treatment
c2a18e5c-6a9f-47ab-98d5-ba8b4b74a6c0,treatment
e1089b33-dd93-4fcc-8739-926561876ca1,treatment
e71f4ec5-cf4b-4318-a42c-e8210224ff97,control
e79e3fd4-d667-4048-b692-a177f42dbc96,control
6c906b6c-15c7-4b64-87fd-ba6d1a370ba5,control
a7ed7ab5-313d-4e96-86b9-68178d5fa9e7,control
bc2894ff-f64d-4d79-a5a9-7eadebecc1e3,treatment
f187faab-bd1f-4a8d-876e-e7dcc6d2a888,treatment
4362a800-c347-4240-be70-9c946293ff7f,treatment
98a221ac-fe6e-4837-8436-7eaa57db33f5,treatment
e1954180-fb93-4fc9-8342-12fe662aeb1b,control
3a70f144-d845-4501-a47e-71b63e08bd70,control
5897b09d-8d31-4035-9bdf-d6c1fe773545,control
c7c052db-38ae-4124-9c41-bc1f4139676a,control
0a2dea36-c6cd-4f02-9063-9e9278b0bb68,control
7a381895-03e8-46f0-a144-b0b57da78eee,control
cf30ba25-ea81-4649-9cd2-04e25af32191,control
5f44f43b-0138-4c33-b4ae-c6949ca94121,control
a84cd9a1-5ead-4303-a894-f767d0de5aa1,treatment
31621de3-94a8-48d9-8754-e41e6dc0acb2,treatment
4b171f0b-5881-4389-a782-224ade8804d1,control
677c66b3-986e-4c33-9d8f-ff61adee6a99,treatment
69121915-5c86-4a5f-a0cc-7d968498f118,treatment
8d087162-e159-4f02-921c-e54227e21e3f,control
96831631-72f7-4a69-a983-dd2e16bcaef6,treatment
c5cf7979-c820-4426-b9f3-d4636398a57d,treatment
203ba21d-53fe-4b99-9791-54ece7ea4e96,control
ae25982e-513a-422a-9945-2abb207c02ae,treatment
02e9a516-1436-4201-a048-92c90a700de1,control
07926d43-0795-4500-999c-fd43ee1aed32,control
