,country,active,reserve,para,total,total_per_1000,active_per_1000
0,Afghanistan,171200.0,0.0,148200.0,319400,9.6,5.1
1,Albania,8000.0,0.0,500.0,8500,2.8,2.6
2,Algeria,130000.0,150000.0,187200.0,467200,11.6,3.2
3,Angola,107000.0,0.0,10000.0,117000,5.8,5.3
4,Antigua and Barbuda,180.0,80.0,0.0,260,2.8,1.9
5,Argentina,74200.0,0.0,31250.0,105450,2.4,1.7
6,Armenia,44800.0,210000.0,4300.0,259100,84.9,14.7
7,Australia,57800.0,21100.0,0.0,78900,3.4,2.5
8,Austria,21350.0,146000.0,0.0,167350,19.2,2.5
9,Azerbaijan,66950.0,300000.0,15000.0,381950,38.7,6.8
10,The Bahamas,1300.0,0.0,0.0,1300,4.0,4.0
11,Bahrain,8200.0,0.0,11260.0,19460,14.1,5.9
12,Bangladesh,157050.0,0.0,63900.0,220950,1.4,1.0
13,Barbados,610.0,430.0,0.0,1040,3.6,2.1
14,Belarus,62000.0,344750.0,150000.0,556750,58.2,6.5
15,Kingdom of Belgium,29600.0,6750.0,0.0,36350,3.2,2.6
16,Belize,1500.0,700.0,0.0,2200,6.2,4.2
17,Benin,7250.0,0.0,2500.0,9750,0.9,0.7
18,Bolivia,34100.0,0.0,37100.0,71200,6.5,3.1
19,Bosnia and Herzegovina,10500.0,0.0,0.0,10500,2.7,2.7
20,Botswana,9000.0,0.0,0.0,9000,4.1,4.1
21,Brazil,334500.0,1340000.0,395000.0,2069500,10.1,1.6
22,Brunei,7000.0,700.0,2250.0,9950,22.8,16.0
23,Bulgaria,31300.0,3000.0,16000.0,50300,7.0,4.4
24,Burkina Faso,11200.0,0.0,250.0,11450,0.6,0.6
25,Burundi,30000.0,0.0,21000.0,51000,4.6,2.7
26,Cambodia,124300.0,0.0,67000.0,191300,12.0,7.8
27,Cameroon,14400.0,0.0,9000.0,23400,1.0,0.6
28,Canada,63000.0,30000.0,4500.0,97500,2.8,1.8
29,Cape Verde,1200.0,0.0,0.0,1200,2.2,2.2
30,Central African Republic,7150.0,0.0,1000.0,8150,1.5,1.3
31,Chad,30350.0,0.0,9500.0,39850,3.4,2.6
32,Chile,64750.0,40000.0,44700.0,149450,8.5,3.7
33,People's Republic of China,2183000.0,510000.0,660000.0,3353000,2.4,1.6
34,Colombia,293200.0,34950.0,187900.0,516050,10.9,6.2
35,Costa Rica,0.0,0.0,9800.0,9800,2.0,0.0
36,Ivory Coast,25400.0,0.0,0.0,25400,1.1,1.1
37,Croatia,15550.0,0.0,3000.0,18550,4.3,3.6
38,Cuba,49000.0,1159000.0,26500.0,1234500,110.4,4.4
39,Cyprus,12000.0,50000.0,750.0,62750,52.0,10.0
40,Czech Republic,21950.0,0.0,3100.0,25050,2.3,2.1
41,Democratic Republic of the Congo,134250.0,0.0,0.0,134250,1.7,1.7
42,Denmark,16600.0,45700.0,0.0,62300,11.1,3.0
43,Djibouti,10450.0,0.0,2500.0,12950,15.3,12.3
44,Dominican Republic,56050.0,0.0,15000.0,71050,6.7,5.3
45,Ecuador,40250.0,118000.0,500.0,158750,9.9,2.5
46,Egypt,438500.0,479000.0,397000.0,1314500,13.9,4.6
47,El Salvador,24500.0,9900.0,17000.0,51400,8.3,4.0
48,Equatorial Guinea,1450.0,0.0,0.0,1450,1.9,1.9
49,Eritrea,201750.0,120000.0,0.0,321750,54.8,34.4
50,Estonia,6400.0,12000.0,15800.0,34200,27.2,5.1
51,Ethiopia,138000.0,0.0,0.0,138000,1.3,1.3
52,Republic of Fiji,3500.0,6000.0,0.0,9500,10.4,3.8
53,Finland,22200.0,900000.0,2700.0,924900,168.2,4.0
54,France,202950.0,68100.0,103400.0,374450,5.6,3.0
55,Gabon,4700.0,0.0,2000.0,6700,3.9,2.7
56,The Gambia,800.0,0.0,0.0,800,0.4,0.4
57,Georgia ,20650.0,0.0,5400.0,26050,5.3,4.2
58,Germany,176800.0,27600.0,500.0,204900,2.5,2.2
59,Ghana,15500.0,0.0,0.0,15500,0.6,0.6
60,Greece,142950.0,220500.0,4000.0,367450,34.1,13.3
61,Guatemala,18050.0,63850.0,25000.0,106900,7.0,1.2
62,Guinea,9700.0,0.0,2600.0,12300,1.0,0.8
63,Guinea-Bissau,4450.0,0.0,0.0,4450,2.5,2.5
64,Guyana,3400.0,670.0,0.0,4070,5.5,4.6
65,Haiti,70.0,0.0,50.0,120,0.0,0.0
66,Honduras,10700.0,60000.0,8000.0,78700,8.8,1.2
67,Hungary,26500.0,44000.0,12000.0,82500,8.4,2.7
68,Iceland,0.0,0.0,250.0,250,0.7,0.0
69,India,1395100.0,2142800.0,1403700.0,4941600,3.9,1.1
70,Indonesia,395500.0,400000.0,280000.0,1075500,4.2,1.5
71,Iran,523000.0,350000.0,40000.0,913000,11.0,6.3
72,Iraq,64000.0,0.0,145000.0,209000,5.5,1.7
73,Ireland,9100.0,2630.0,0.0,11730,2.4,1.8
74,Israel,176500.0,465000.0,8000.0,649500,79.5,21.6
75,Italy,174500.0,18300.0,182350.0,375150,6.1,2.8
76,Jamaica,3450.0,980.0,0.0,4430,1.5,1.2
77,Japan,247150.0,56000.0,12650.0,315800,2.5,2.0
78,Jordan,100500.0,65000.0,15000.0,180500,22.1,12.3
79,Kazakhstan,39000.0,0.0,31500.0,70500,3.8,2.1
80,Kenya,24100.0,0.0,5000.0,29100,0.6,0.5
81,Republic of Kosovo,2500.0,800.0,0.0,3300,1.8,1.3
82,Kuwait,15500.0,23700.0,7100.0,46300,16.3,5.5
83,Kyrgyzstan,10900.0,0.0,9500.0,20400,3.6,1.9
84,Laos,29100.0,0.0,100000.0,129100,18.4,4.1
85,Latvia,5310.0,7850.0,0.0,13160,6.7,2.7
86,Lebanon,60000.0,0.0,20000.0,80000,12.8,9.6
87,Lesotho,2000.0,0.0,0.0,2000,1.0,1.0
88,Liberia,2050.0,0.0,0.0,2050,0.5,0.5
89,Libya,0.0,0.0,0.0,0,0.0,0.0
90,Lithuania,17030.0,6700.0,11300.0,35030,12.3,6.0
91,Luxembourg,900.0,0.0,600.0,1500,2.6,1.5
92,Madagascar,13500.0,0.0,8100.0,21600,0.9,0.6
93,Malawi,5300.0,0.0,1500.0,6800,0.4,0.3
94,Malaysia,109000.0,51600.0,269300.0,429900,13.9,3.5
95,Mali,8000.0,0.0,7800.0,15800,0.9,0.5
96,Malta,1950.0,180.0,0.0,2130,5.1,4.7
97,Mauritania,15850.0,0.0,5000.0,20850,5.7,4.3
98,Mauritius,0.0,0.0,2550.0,2550,1.9,0.0
99,Mexico,277150.0,81500.0,58900.0,417550,3.4,2.3
100,Moldova,5150.0,58000.0,2400.0,65550,18.7,1.5
101,Mongolia,20000.0,250000.0,15000.0,285000,89.3,6.3
102,Montenegro,1950.0,0.0,10100.0,12050,18.7,3.0
103,Morocco,195800.0,150000.0,50000.0,395800,11.8,5.8
104,Mozambique,11200.0,0.0,0.0,11200,0.4,0.4
105,Myanmar ,406000.0,0.0,107250.0,513250,9.0,7.1
106,Namibia,9900.0,0.0,6000.0,15900,6.8,4.2
107,Nepal,96600.0,0.0,62000.0,158600,5.5,3.3
108,Netherlands,35410.0,4500.0,6060.0,45970,2.7,2.1
109,New Zealand,8950.0,2200.0,0.0,11150,2.5,2.0
110,Nicaragua,12000.0,0.0,0.0,12000,2.0,2.0
111,Niger,5300.0,0.0,5400.0,10700,0.6,0.3
112,Nigeria,118000.0,0.0,82000.0,200000,1.1,0.6
113,North Korea,1190000.0,6300000.0,189000.0,7679000,305.7,47.4
114,Kingdom of Norway,24950.0,45590.0,0.0,70540,13.4,4.7
115,Oman,42600.0,0.0,4400.0,47000,14.0,12.7
116,Pakistan,653800.0,0.0,282000.0,935800,4.6,3.2
117,State of Palestine,,,,0,0.0,
118,Panama,0.0,0.0,22050.0,22050,6.0,0.0
119,Papua New Guinea,1900.0,0.0,0.0,1900,0.3,0.3
120,Paraguay,10650.0,164500.0,14800.0,189950,27.7,1.6
121,Peru,81000.0,188000.0,77000.0,346000,11.3,2.6
122,Philippines,125000.0,131000.0,90500.0,346500,3.4,1.2
123,Poland,99300.0,0.0,73400.0,172700,4.5,2.6
124,Portugal,29600.0,211950.0,44000.0,285550,26.4,2.7
125,Qatar,11800.0,0.0,0.0,11800,5.2,5.2
126,Macedonia,8000.0,4850.0,0.0,12850,6.1,3.8
127,Republic of the Congo,10000.0,0.0,2000.0,12000,2.5,2.1
128,Romania,70500.0,50000.0,79900.0,200400,9.3,3.3
129,Russia,1013000.0,2500000.0,710000.0,4223000,29.7,7.1
130,Rwanda,33000.0,0.0,2000.0,35000,2.7,2.5
131,Saudi Arabia,227000.0,0.0,24500.0,251500,8.9,8.1
132,Senegal,13600.0,0.0,5000.0,18600,1.3,0.9
133,Serbia,28150.0,50150.0,0.0,78300,11.0,3.9
134,Seychelles,420.0,0.0,0.0,420,4.5,4.5
135,Sierra Leone,8500.0,0.0,0.0,8500,1.4,1.4
136,Republic of Singapore,72500.0,312500.0,119100.0,504100,87.2,12.5
137,Slovakia,15850.0,0.0,0.0,15850,2.9,2.9
138,Slovenia,7250.0,1760.0,5950.0,14960,7.6,3.7
139,Somalia,19800.0,0.0,0.0,19800,1.8,1.8
140,Republic of South Africa,67100.0,15050.0,0.0,82150,1.5,1.2
141,South Korea,630000.0,7500000.0,4500.0,8134500,159.7,12.4
142,Kingdom of Spain,123200.0,8200.0,76750.0,208150,4.3,2.5
143,Sri Lanka,243000.0,35900.0,62200.0,341100,15.3,10.9
144,South Sudan,185000.0,0.0,0.0,185000,14.8,14.8
145,Sudan,244300.0,85000.0,20000.0,349300,9.5,6.7
146,Suriname,1840.0,0.0,100.0,1940,3.3,3.1
147,Sweden,29750.0,0.0,21950.0,51700,5.2,3.0
148,Switzerland,20950.0,144270.0,74000.0,239220,29.2,2.6
149,Syria,127500.0,0.0,150000.0,277500,16.1,7.4
150,Taiwan,215000.0,1657000.0,17000.0,1889000,80.5,9.2
151,Tajikistan,8800.0,0.0,7500.0,16300,2.0,1.1
152,Tanzania,27000.0,80000.0,1400.0,108400,2.1,0.5
153,Thailand,360850.0,245000.0,93700.0,699550,10.3,5.3
154,East Timor,1330.0,0.0,0.0,1330,1.1,1.1
155,Togo,8550.0,0.0,750.0,9300,1.2,1.1
156,Trinidad and Tobago,4050.0,0.0,0.0,4050,3.3,3.3
157,Tunisia,35800.0,0.0,12000.0,47800,4.3,3.2
158,Turkey,355200.0,378700.0,156800.0,890700,11.1,4.4
159,Turkmenistan,36500.0,0.0,0.0,36500,6.9,6.9
160,Uganda,45000.0,10000.0,1400.0,56400,1.5,1.2
161,Ukraine,204000.0,900000.0,88000.0,1192000,27.0,4.6
162,United Arab Emirates,63000.0,0.0,0.0,63000,10.6,10.6
163,United Kingdom of Great Britain and Northern Ireland,152350.0,81350.0,0.0,233700,3.6,2.4
164,United States of America,1347300.0,865050.0,14850.0,2227200,6.9,4.2
165,Uruguay,24650.0,0.0,800.0,25450,7.6,7.4
166,Uzbekistan,48000.0,0.0,20000.0,68000,2.3,1.6
167,Venezuela,115000.0,8000.0,0.0,123000,4.0,3.7
168,Vietnam,482000.0,5000000.0,40000.0,5522000,58.0,5.1
169,Yemen,20000.0,0.0,0.0,20000,0.7,0.7
170,Zambia,15100.0,3000.0,1400.0,19500,1.3,1.0
171,Zimbabwe,29000.0,0.0,21800.0,50800,3.5,2.0
